S	V	G	A	gardon
Garo	0.81	-0.24	1.09	0
Garo	0.13	-0.42	1.29	0
Garo	1.22	0.16	0.88	0
Garo	0.29	-0.3	1.71	0
Garo	0.77	-0.7	0.99	0
Rhon	-0.29	-1.72	0.36	0
Rhon	-0.24	0.65	0.22	1
Rhon	0.98	-0.13	1.34	0
Rhon	-0.33	-0.01	0.17	0
Rhon	1.78	-0.15	0.2	0
Rhon	-0.29	0.03	0.15	1
Rhon	0.91	0.27	0.68	0
Rhon	-1.84	1.24	-0.03	1
Rhon	-0.42	-0.09	-0.01	1
Rhon	0.61	-0.31	0.78	0
Rhon	0.78	0	0.78	0
Rhon	0.15	-0.92	1.39	0
Rhon	-0.4	-0.59	1.4	0
Rhon	-0.61	-0.73	1.4	0
Rhon	-0.25	-0.96	1.41	0
Rhon	-0.13	-1.38	1.41	0
Rhon	1.34	-2.36	1.41	0
Rhon	0.66	-2.54	1.44	0
Rhon	0.09	-0.48	1.39	0
Rhon	0.65	1.85	0.86	0
Rhon	1.09	-1.48	1.25	0
Rhon	1.31	-0.42	0.92	0
Rhon	1.15	-0.88	1.11	0
Rhon	1.5	0.29	-0.03	0
Rhon	2.01	-0.12	1.26	0
Rhon	1.05	-0.28	1.53	0
Rhon	0.71	0.33	0.41	1
Rhon	0.4	-1.16	-0.05	0
Rhon	0.46	-0.28	1.54	0
Rhon	0.43	-0.51	1.54	0
Rhon	0.39	-0.86	1.52	0
Rhon	-2.04	-1.92	0.59	0
Rhon	-0.22	-0.96	0.54	0
Rhon	1.18	-2.09	1.04	0
Rhon	-1	0.48	-0.02	1
Rhon	-1.89	-1.55	0.59	0
Rhon	-1.75	-1.65	1.04	0
Rhon	-0.04	-0.97	1.39	0
Rhon	0.1	-0.07	1.07	0
Rhon	-0.13	0.13	1.02	0
Rhon	0.42	-0.9	0.28	0
Rhon	-0.4	-0.62	0.43	1
Rhon	1.68	-1.5	0.86	0
Rhon	1.36	-0.9	0.91	0
Rhon	0.07	-0.85	0.9	0
Rhon	0.41	-0.64	0.65	0
Rhon	0.86	-0.93	1.03	0
Rhon	0.18	-0.86	0.67	1
Rhon	0.61	0.53	0.46	0
Rhon	0.63	-0.4	0.53	0
Rhon	2	-0.79	0.84	0
Rhon	1.93	-0.17	0.57	0
Rhon	1.05	-2.09	0.77	0
Rhon	-0.93	-0.43	0.49	0
Rhon	1.58	-1.47	0.88	0
Rhon	0.58	-0.48	0.28	0
Rhon	0.53	-0.61	0.31	0
Rhon	0.03	-1.65	2.07	0
Rhon	0.53	-0.66	0.62	1
Rhon	-0.65	-1.16	0.61	0
Rhon	0	-0.99	0.74	0
Rhon	1.12	-0.84	0.68	0
Rhon	0	-0.77	0.73	0
Rhon	-1.69	0.13	0.5	0
Rhon	0.47	-0.68	1.59	0
Rhon	-0.39	-0.04	0.26	0
Rhon	0.43	-0.42	1.59	0
Rhon	1.43	-0.11	1.47	0
Rhon	-0.05	0	1.41	0
Rhon	-2.22	-0.42	1.3	0
Rhon	-1.64	-0.31	1.28	0
Rhon	-2.27	-0.85	1.31	0
Rhon	2.65	-0.13	1.57	0
Rhon	2.3	-0.01	1.39	0
Rhon	0.87	0.29	1.24	0
Rhon	2.06	-1	1.56	0
Rhon	1.26	-0.06	1.31	0
Rhon	0.68	0.54	1.03	0
Rhon	2.73	-0.69	2.2	0
Rhon	2.63	-0.73	1.89	0
Rhon	2.44	-0.13	1.83	0
Rhon	1	0.78	1.09	0
Rhon	1.49	0.24	1.45	0
Rhon	1.73	0.3	1.46	0
Rhon	1.73	0.17	1.54	0
Rhon	1.73	-0.02	1.59	0
Rhon	-2.22	-0.83	1.19	0
Rhon	-1.27	-0.48	1.08	0
Rhon	1.55	-0.45	1.62	0
Rhon	2.47	-0.76	1.98	0
Rhon	2.25	-0.61	1.94	0
Rhon	2.06	-0.35	1.85	0
Rhon	2.32	-0.27	1.73	0
Rhon	2.06	-0.16	1.43	0
Rhon	-0.03	0.66	1.22	0
Rhon	-0.42	-2.81	1.46	0
Rhon	2.57	-1.27	2.04	0
Rhon	-0.14	-1.92	-0.85	0
Rhon	-0.64	0.02	-1.33	1
Rhon	-0.63	-0.43	-0.98	0
Rhon	0.18	-0.33	0.51	0
Rhon	0.94	-1.55	0.33	0
Medi	0.55	0.38	-0.15	0
Medi	1.18	-1.29	0.13	0
Medi	-0.21	-0.19	-0.39	0
Medi	1.39	0.11	-0.6	0
Medi	0.63	-1.33	1.75	0
Medi	-2.27	0.54	0.66	0
Medi	1.53	-0.9	0.76	0
Medi	0.02	0.21	-0.02	0
Medi	-0.22	0.21	-0.15	0
Medi	-1.18	-1.5	1.26	0
Medi	-0.93	-1.4	1.26	0
Medi	0.93	-0.79	0.69	0
Medi	0.41	-0.15	0.22	0
Medi	0.43	-0.81	1.21	0
Medi	0.44	-0.83	1.28	0
Medi	0.38	2.03	-2.12	1
Medi	1.1	0.31	1.59	0
Medi	0.39	0.4	0.91	0
Medi	-0.15	-1.65	1.73	0
Medi	-1.01	-0.45	-0.08	0
Medi	1.56	-0.71	0.67	0
Medi	1.6	-1.75	0.02	0
Medi	0.59	0.07	0.51	0
